001Ujabc,John,Parisian,Karleyport,NE,50,157.0
001Mwabc,John,Bayer,Parkertown,NE,74,158.95
001Vwabc,Tony,Parker,New Lelah,SC,26,157.0
001Joabc,Steve,Weissnat,South Roy,NE,13,175.46
001Hoabc,Tony,Lu,East Hayliefort,AK,79,174.54
001Gkabc,Jane,Schimmel,Mayertside,ME,45,157.0
001Mqabc,Steve,Leuschke,Lake Lulabury,NE,43,175.46
001Jlabc,John,Schowalter,Port Carmeloton,SC,57,174.54
001Sjabc,John,Wuckert,South Lilly,SC,20,174.54
001Xhabc,Tony,Murray,North Leonardfurt,NE,16,183.96
001Vjabc,Tom,Gleason,North Brenna,NE,17,170.56
001Vrabc,Tony,Price,Mayertside,CA,32,158.95
001Wyabc,Steve,Roberts,Mayertside,SC,59,174.54
001Aiabc,Peter,DuBuque,Mayertside,VA,39,175.46
001Vkabc,Tom,Monahan,South Addisonview,NE,12,175.46
001Wyabc,Jane,Veum,Parkertown,SC,47,183.96
001Iwabc,Tom,Rempel,East Hayliefort,NM,59,151.41
001Puabc,Jane,McDermott,Port Carmeloton,CA,26,174.54
001Egabc,Steve,Rempel,East Maureenmouth,AK,23,174.54
001Yeabc,John,MacGyver,North Moniquemouth,NE,18,175.46
001Msabc,Tony,Steuber,South Lilly,SC,40,166.9
001Dpabc,John,Lu,South Lilly,CA,69,174.54
001Mzabc,Peter,Emard,East Angel,SC,40,158.95
001Atabc,Jane,Lindgren,Colefort,CA,77,175.46
001Sxabc,Tony,Weimann,Kshlerinmouth,CA,55,175.46
001Cbabc,Steve,Kessler,North Leonardfurt,AK,59,157.0
001Jyabc,Tom,Kuhic,Karleyport,SC,19,175.46
001Jjabc,Tom,Renner,East Hayliefort,CA,10,183.96
001Wwabc,Tom,Feeney,Funkfurt,CA,28,157.0
001Xxabc,John,Berge,North Moniquemouth,NE,69,182.68
001Cgabc,John,Koss,North Moniquemouth,VA,69,175.46
001Iqabc,Jane,Hagenes,East Angel,VA,25,175.46
001Jtabc,Steve,Smith,East Angel,VA,42,174.54
001Dgabc,John,Altenwerth,Kshlerinmouth,AK,53,174.54
001Vnabc,Peter,Pacocha,North Pablo,CA,22,175.46
001Rdabc,Tony,Harber,East Angel,KY,27,151.41
001Yrabc,Jane,Roberts,South Lilly,CA,42,158.95
001Xyabc,John,Carroll,Colefort,SC,57,183.96
001Atabc,Tony,Anderson,Karleyport,CO,60,166.9
